"AnimalName","AnimalGender","AnimalBirthYear","BreedName","ZipCode","LicenseIssuedDate","LicenseExpiredDate","Extract.Year","Borough","BoroughPop","lon","lat"
"MONA","F",2008,"Dachshund Smooth Coat Miniature",10024,"12/30/2014","03/15/2016",2016,"Manhattan",1649114,-73.9741874,40.7859464
"COOKIE","F",2007,"Yorkshire Terrier",11222,"10/06/2014","10/06/2016",2016,"Brooklyn",2621793,-73.9506774,40.7282702
"HAZEL","F",2005,"Boston Terrier",11693,"11/26/2014","01/02/2016",2016,"Queens",2321580,-73.8272029,40.6166766
"CUTIE","F",2012,"Jack Russell Terrier",11106,"11/10/2014","08/13/2017",2016,"Queens",2321580,-73.9271644,40.7595044
"SUKI","F",2006,"Lhasa Apso",10065,"10/23/2014","09/03/2016",2016,"Manhattan",1649114,-73.9624327,40.7645239
"JULIUS","M",2008,"Australian Cattledog",11215,"09/23/2014","09/23/2019",2016,"Brooklyn",2621793,-73.9800645,40.6681669
"MAEBEL","F",2007,"Labrador Retriever Crossbreed",10011,"11/05/2014","10/30/2017",2016,"Manhattan",1649114,-74.0094471,40.7464969
"BEAU","M",2011,"Chihuahua",11235,"12/14/2014","12/14/2019",2016,"Brooklyn",2621793,-73.9418603,40.5860069
"MILANA","F",2005,"Italian Greyhound",10065,"12/15/2014","01/10/2020",2016,"Manhattan",1649114,-73.9624327,40.7645239
"SAMMY","F",2009,"Cavalier King Charles Spaniel",10021,"12/18/2014","12/18/2016",2016,"Manhattan",1649114,-73.9580246,40.7700703
"DAISY","F",2013,"Old English Sheepdog",11215,"11/17/2014","01/29/2018",2016,"Brooklyn",2621793,-73.9800645,40.6681669
"JUNE","F",2010,"Cavalier King Charles Spaniel",11238,"09/13/2014","10/28/2019",2016,"Brooklyn",2621793,-73.9624327,40.6805029
"GRAZIO","M",2013,"Yorkshire Terrier",10019,"11/02/2014","11/02/2016",2016,"Manhattan",1649114,-73.9918181,40.7686973
"BUSTER","M",2010,"Bull Dog, French",11238,"12/11/2014","12/06/2016",2016,"Brooklyn",2621793,-73.9624327,40.6805029
"MUFFIN","M",2013,"Collie, Rough Coat",10463,"11/27/2014","10/05/2017",2016,"Bronx",1438159,-73.9095279,40.8803247
"ADDISON","F",2012,"Poodle",10024,"10/23/2014","10/23/2016",2016,"Manhattan",1649114,-73.9741874,40.7859464
"KIMA","F",2011,"Schnauzer, Standard",11217,"12/17/2014","12/17/2019",2016,"Brooklyn",2621793,-73.9785952,40.6815619
"TUCKER","M",2011,"Maltese",10003,"12/12/2014","01/27/2016",2016,"Manhattan",1649114,-73.9874105,40.7322535
"OLIVER","M",2003,"Scottish Terrier",10011,"12/26/2014","01/30/2016",2016,"Manhattan",1649114,-74.0094471,40.7464969
"NAPOLEON","M",2007,"Bull Dog, French",11231,"12/14/2014","01/06/2018",2016,"Brooklyn",2621793,-74.0094471,40.6772802
"ZOEY","F",2011,"Poodle, Miniature",10002,"11/15/2014","07/10/2016",2016,"Manhattan",1649114,-73.9859414,40.7135097
"LEXI","F",2013,"Maltese",10027,"12/16/2014","01/12/2016",2016,"Manhattan",1649114,-73.9624327,40.8138912
"BOOMER","M",2013,"Collie Crossbreed",10461,"10/03/2014","10/03/2017",2016,"Bronx",1438159,-73.8360251,40.8476284
"CHANCE","M",2010,"Yorkshire Terrier",11201,"10/26/2014","11/02/2016",2016,"Brooklyn",2621793,-73.9859414,40.6986772
"ROSCO","M",2005,"Labrador Retriever",10314,"12/12/2014","01/30/2016",2016,"Staten Island",473324,-74.1827119,40.5952146
"OLIVER","M",2012,"Poodle, Miniature",10019,"09/29/2014","09/29/2019",2016,"Manhattan",1649114,-73.9918181,40.7686973
"SARAH","F",1999,"West High White Terrier",11040,"12/26/2014","01/30/2016",2016,"Queens",2321580,-73.6830521,40.7466623
"SCOUT","F",2010,"Labrador Retriever",11206,"12/19/2014","12/20/2017",2016,"Brooklyn",2621793,-73.9418603,40.7047738
"CHOCOLATE","F",2007,"American Pit Bull Terrier/Pit Bull",11208,"09/25/2014","10/28/2016",2016,"Brooklyn",2621793,-73.8713099,40.6749343
"DAX","M",2009,"Welsh Corgi, Cardigan",10021,"10/07/2014","10/07/2019",2016,"Manhattan",1649114,-73.9580246,40.7700703
"MATTIE","M",2014,"Beagle",11211,"12/13/2014","12/13/2019",2016,"Brooklyn",2621793,-73.9565551,40.7093358
"SADIE","F",2013,"Tibetan Spaniel",10024,"12/13/2014","12/13/2016",2016,"Manhattan",1649114,-73.9741874,40.7859464
"HUNDLEY","M",2012,"Chihuahua",11105,"10/01/2014","10/05/2017",2016,"Queens",2321580,-73.9065883,40.7787902
"BELLA","F",2009,"Labrador Retriever Crossbreed",11230,"12/17/2014","01/29/2017",2016,"Brooklyn",2621793,-73.9653715,40.6190629
"XENA","F",2010,"American Pit Bull Mix / Pit Bull Mix",10310,"12/26/2014","01/11/2016",2016,"Staten Island",473324,-74.1181234,40.6307451
"BAILEY","F",2007,"Beagle",11367,"11/26/2014","01/06/2016",2016,"Queens",2321580,-73.8213213,40.7295546
"CHEWY","M",2003,"Greyhound",10314,"10/06/2014","03/29/2016",2016,"Staten Island",473324,-74.1827119,40.5952146
"BIANCO","M",2008,"Maltese",11102,"10/09/2014","11/12/2016",2016,"Queens",2321580,-73.9286341,40.7732937
"SASHA","F",2014,"Manchester Terrier",11385,"09/20/2014","09/20/2019",2016,"Queens",2321580,-73.8948295,40.6980708
"JAKE","M",2003,"Labrador Retriever",10065,"12/29/2014","01/30/2016",2016,"Manhattan",1649114,-73.9624327,40.7645239
